接口类,表号,表中文名,表英文名,接口文件名
公共信息类数据结构,101,机构信息表,T_GX_JGXX,JGXXB
公共信息类数据结构,102,员工表,T_GX_YGB,YGB
公共信息类数据结构,103,柜员表,T_GX_GYB,GYB
公共信息类数据结构,104,岗位信息表,T_GX_GWXX,GWXXB
会计记账信息类数据结构,201,总账会计全科目表,T_KJ_ZZQKM,ZZHJQKMB
会计记账信息类数据结构,202,统计科目口径对照表,T_KJ_TJKMKJ,TJKMKJDZB
会计记账信息类数据结构,203,内部科目对照表,T_KJ_NBKMKJ,NBKMDZB
会计记账信息类数据结构,204,个人活期存款分户账,T_KJ_GRHCFZ,GRHQCKFHZ
会计记账信息类数据结构,205,个人活期存款分户账明细记录,T_KJ_GRHCFZMX,GRHQCKFHZMXJL
会计记账信息类数据结构,206,个人定期存款分户账,T_KJ_GRDCFZ,GRDQCKFHZ
会计记账信息类数据结构,207,个人定期存款分户账明细记录,T_KJ_GRDCFZMX,GRDQCKFHZMXJL
会计记账信息类数据结构,208,对公活期存款分户账,T_KJ_DGHCFZ,DGHQCKFHZ
会计记账信息类数据结构,209,对公活期存款分户账明细记录,T_KJ_DGHCFZMX,DGHQCKFHZMXJL
会计记账信息类数据结构,210,对公定期存款分户账,T_KJ_DGDCFZ,DGDQCKFHZ
会计记账信息类数据结构,211,对公定期存款分户账明细记录,T_KJ_DGDCFZMX,DGDQCKFHZMXJL
会计记账信息类数据结构,212,内部分户账,T_KJ_NBFZ,NBFHZ
会计记账信息类数据结构,213,内部分户账明细记录,T_KJ_NBFZMX,NBFHZMXJL
会计记账信息类数据结构,214,个人信贷分户账,T_KJ_GRXFZ,GRXDFHZ
会计记账信息类数据结构,215,个人信贷分户账明细记录,T_KJ_GRXFZMX,GRXDFHZMXJL
会计记账信息类数据结构,216,对公信贷分户账,T_KJ_DGXFZ,DGXDFHZ
会计记账信息类数据结构,217,对公信贷分户账明细记录,T_KJ_DGXFZMX,DGXDFHZMXJL
客户信息类数据结构,301,个人基础信息,T_KH_GRJCXX,GRJCXX
客户信息类数据结构,302,个人客户关系信息,T_KH_GRKHGXXX,GRKHGXXX
客户信息类数据结构,303,对公客户,T_KH_DGKHXX,DGKH
客户信息类数据结构,304,股东信息,T_KH_GDXX,GDXX
客户信息类数据结构,305,关联关系,T_KH_GLGX,GLGX
授信交易对手信息,401,信贷合同表,T_SJD_XDHT,XDHTB
授信交易对手信息,402,项目贷款信息表,T_SJD_XMDKXX,XMDKXXB
授信交易对手信息,403,票据票面信息表,T_SJD_PJPMXX,PJPMXXB
授信交易对手信息,404,保函业务信息表,T_SJD_BHYWXX,BHYWXXB
授信交易对手信息,405,对公表外授信业务表,T_SJD_DGBSY,DGBWSXYW
授信交易对手信息,406,贸易融资业务信息表,T_SJD_MYRZYXX,MYRZYWXXB
授信交易对手信息,407,银团贷款,T_SJD_YTDK,YTDK
授信交易对手信息,408,委托贷款,T_SJD_WTDK,WTDK
授信交易对手信息,409,个人信贷业务借据,T_SJD_GXYJJ,GRXDYWJJ
授信交易对手信息,410,对公信贷业务借据,T_SJD_DXYJJ,DGXDYWJJ
授信交易对手信息,411,信贷业务担保合同,T_SJD_XYDHT,XDYWDBHT 
授信交易对手信息,412,担保关系,T_SJD_XYDGX,DBGX
授信交易对手信息,413,信贷业务质或抵押物,T_SJD_XYZDYW,XDYWZHDYW
卡片信息类数据结构,501,借记卡信息,T_KP_JJKXX,JJKXX
卡片信息类数据结构,502,存折信息,T_KP_CZXX,CZXX
卡片信息类数据结构,503,信用卡信息,T_KP_XYKXX,XYKXX
卡片信息类数据结构,504,信用卡账户交易明细表,T_KP_XYKZJYMX,XYKZHJYMXB
信贷管理信息类数据结构,601,授信信息,T_XG_SXXX,SXXX
信贷管理信息类数据结构,602,贷款核销,T_XG_DKHX,DKHX
信贷管理信息类数据结构,603,贷款展期,T_XG_DKZQ,DKZQ
信贷管理信息类数据结构,604,信贷资产转让,T_XG_XDZCZR,XDZCZR
信贷管理信息类数据结构,605,资产转让关系表,T_XG_ZZRGX,WZBCDZTRJGLXMMDD
信贷管理信息类数据结构,606,贷款五级形态变动,T_XG_DKWXB,DKWJXTBD
信贷管理信息类数据结构,607,贷后检查表,T_XG_DHJCB,DHJCB
交易流水信息,701,交易流水,T_JL_JYLS,JYLS
资产负债及涉农统计类数据结构,801,资产负债科目统计表,T_ZFSN_ZFKTJ,ZCFZKMTJB
资产负债及涉农统计类数据结构,802,涉农统计表,T_ZFSN_SNTJ,SNTJB
客户风险统计类数据结构,901,客户基本信息表,T_KFX_KHJBXX,KHJBXXB
客户风险统计类数据结构,902,股东及关联企业情况表,T_KFX_GDJGL,GDJGLQYQKB
客户风险统计类数据结构,903,贷款明细,T_KFX_DKMX,DKMX
客户风险统计类数据结构,904,表外业务明细,T_KFX_BWYWMX,BWYWMX
